# Programming & IT Platforms - Top 50 Verified Sites
# Format: Name|URL|Category|Priority

GitHub|https://github.com/{username}|programming|10
GitLab|https://gitlab.com/{username}|programming|9
Bitbucket|https://bitbucket.org/{username}|programming|8
Stack Overflow|https://stackoverflow.com/users/{username}|programming|10
Stack Exchange|https://stackexchange.com/users/{username}|programming|8
Dev.to|https://dev.to/{username}|programming|8
Hashnode|https://hashnode.com/@{username}|programming|7
Codepen|https://codepen.io/{username}|programming|7
JSFiddle|https://jsfiddle.net/user/{username}|programming|6
Replit|https://replit.com/@{username}|programming|6
CodeSandbox|https://codesandbox.io/u/{username}|programming|6
Glitch|https://glitch.com/@{username}|programming|5
PyPI|https://pypi.org/user/{username}|programming|7
NPM|https://www.npmjs.com/~{username}|programming|7
Docker Hub|https://hub.docker.com/u/{username}|programming|6
Hacker News|https://news.ycombinator.com/user?id={username}|programming|7
Product Hunt|https://www.producthunt.com/@{username}|programming|6
Behance|https://www.behance.net/{username}|programming|7
Dribbble|https://dribbble.com/{username}|programming|7
Figma|https://www.figma.com/@{username}|programming|6
HackerOne|https://hackerone.com/{username}|programming|6
Bugcrowd|https://bugcrowd.com/{username}|programming|6
TryHackMe|https://tryhackme.com/p/{username}|programming|5
HackTheBox|https://app.hackthebox.com/profile/{username}|programming|5
LeetCode|https://leetcode.com/{username}|programming|8
Codeforces|https://codeforces.com/profile/{username}|programming|7
HackerRank|https://www.hackerrank.com/{username}|programming|7
CodeChef|https://www.codechef.com/users/{username}|programming|6
GeeksforGeeks|https://auth.geeksforgeeks.org/user/{username}|programming|6
TopCoder|https://www.topcoder.com/members/{username}|programming|6
Project Euler|https://projecteuler.net/profile/{username}|programming|5
Exercism|https://exercism.org/profiles/{username}|programming|5
Codewars|https://www.codewars.com/users/{username}|programming|7
Advent of Code|https://adventofcode.com/{username}|programming|5
FreeCodeCamp|https://www.freecodecamp.org/{username}|programming|7
The Odin Project|https://www.theodinproject.com/users/{username}|programming|6
Coursera|https://www.coursera.org/user/{username}|programming|6
edX|https://www.edx.org/user/{username}|programming|6
Udemy|https://www.udemy.com/user/{username}|programming|5
Pluralsight|https://app.pluralsight.com/profile/{username}|programming|5
Kaggle|https://www.kaggle.com/{username}|programming|8
Google Colab|https://colab.research.google.com/github/{username}|programming|7
Papers With Code|https://paperswithcode.com/user/{username}|programming|7
ResearchGate|https://www.researchgate.net/profile/{username}|programming|7
Academia.edu|https://www.academia.edu/{username}|programming|6
ORCID|https://orcid.org/{username}|programming|6
Hugging Face|https://huggingface.co/{username}|programming|8
Medium|https://medium.com/@{username}|programming|7
Substack|https://{username}.substack.com|programming|6
LinkedIn|https://www.linkedin.com/in/{username}|programming|9
