# Programming & Development Platforms
# Format: Name|URL Pattern|Category|Priority

GitHub|https://github.com/{username}|programming|10
GitLab|https://gitlab.com/{username}|programming|9
Bitbucket|https://bitbucket.org/{username}|programming|8
Stack Overflow|https://stackoverflow.com/users/{username}|programming|10
Stack Exchange|https://stackexchange.com/users/{username}|programming|8
Dev.to|https://dev.to/{username}|programming|8
Hashnode|https://hashnode.com/@{username}|programming|7

# Code Repositories
Codepen|https://codepen.io/{username}|programming|8
JSFiddle|https://jsfiddle.net/user/{username}|programming|7
Replit|https://replit.com/@{username}|programming|7
CodeSandbox|https://codesandbox.io/u/{username}|programming|7
Glitch|https://glitch.com/@{username}|programming|6

# Documentation & Learning
Read the Docs|https://readthedocs.org/profiles/{username}|programming|7
PyPI|https://pypi.org/user/{username}|programming|8
NPM|https://www.npmjs.com/~{username}|programming|8
Docker Hub|https://hub.docker.com/u/{username}|programming|7

# Tech Blogs
Medium|https://medium.com/@{username}|blogs|8
Dev Community|https://dev.to/{username}|programming|8
FreeCodeCamp|https://www.freecodecamp.org/{username}|programming|8
Hackernoon|https://hackernoon.com/u/{username}|programming|7

# Russian IT Platforms
Habr|https://habr.com/ru/users/{username}|programming|8
Toster|https://toster.ru/user/{username}|programming|7
Geektimes|https://geektimes.ru/users/{username}|programming|7

# Tech Forums
Hacker News|https://news.ycombinator.com/user?id={username}|programming|7
Product Hunt|https://www.producthunt.com/@{username}|programming|6
Indie Hackers|https://www.indiehackers.com/{username}|programming|6

# Design & UI
Behance|https://www.behance.net/{username}|programming|8
Dribbble|https://dribbble.com/{username}|programming|8
Figma|https://www.figma.com/@{username}|programming|7

# Security & Hacking
HackerOne|https://hackerone.com/{username}|programming|7
Bugcrowd|https://bugcrowd.com/{username}|programming|7
TryHackMe|https://tryhackme.com/p/{username}|programming|6
HackTheBox|https://app.hackthebox.com/profile/{username}|programming|6
